Average_RPM,Actual_RPM,Speed_rad/s,Suction pressure (bar),Suct Temp ( C ),Discharge pressure (bar),Discharge Temperature ( C ),Disc. Temp ( K ),Volumetric Flow rate (l/min),Vol. rate (m3/s),FM Air Temp ( C ),FM Air Pressure (bar),FM Air Temp ( K ),FM Air Pressure (MPa),Density (kg/m3),Correction_Factor,Corrected_Flow_rate (l/min),Corrected_Flow_Rate(m3/s),Temp. casing,Temp. shaft,Viscosity,Oil Seal Coefficient
1216,1217,127.443942,1.009323268,30.51316698,4.263222698,38.46967388,311.6196739,4,6.66667E-05,30.59219815,4.251841012,303.7421982,0.425184101,4.8821,0.997722746,3.990890983,6.65148E-05,38,48,0.043604,265
1216,1214,127.1297827,1.009374038,30.53840403,3.748781678,39.84741879,312.9974188,5,8.33333E-05,30.71976699,3.738476597,303.869767,0.37384766,4.2903,0.997785118,4.98892559,8.31488E-05,38,48,0.043604,240
1216,1217,127.443942,1.010002771,30.52325506,3.411492883,39.27880079,312.4288008,7,0.000116667,30.60021831,3.390974294,303.7502183,0.339097429,3.8927,0.997828141,6.984796988,0.000116413,38,48,0.043604,225
1216,1215,127.2345025,1.009264107,30.56878338,3.003646523,40.45070819,313.6007082,8,0.000133333,30.7318219,2.983452609,303.8818219,0.298345261,3.423,0.997886225,7.9830898,0.000133051,38,48,0.043604,210
1216,1217,127.443942,1.009453756,30.52819567,2.39755211,40.14623305,313.2962331,10,0.000166667,30.66564231,2.376774941,303.8156423,0.237677494,2.7271,0.997965894,9.979658938,0.000166328,38,48,0.043604,195
1417,1427,149.4350906,1.009428744,30.61297484,5.253362587,42.25302807,315.4030281,5,8.33333E-05,31.33666967,5.243546539,304.4866697,0.524354654,6.0075,0.997605415,4.988027074,8.31338E-05,43,55,0.031712,285
1417,1411,147.7595745,1.009281076,30.58100438,4.822307569,42.95307317,316.1030732,5.5,9.16667E-05,30.98903514,4.906087874,304.1390351,0.490608787,5.6269,0.997640903,5.487024969,9.14504E-05,43,55,0.031712,275
1417,1412,147.8642942,1.008691264,30.62272879,4.236297848,43.47355289,316.6235529,6,0.0001,30.95102853,4.213486583,304.1010285,0.421348658,4.8323,0.997728057,5.98636834,9.97728E-05,43,55,0.031712,265
1417,1415,148.1784535,1.007757318,30.81608028,3.661602244,46.06918685,319.2191869,8,0.000133333,32.01003664,3.636438534,305.1600366,0.363643853,4.1553,0.997815786,7.982526289,0.000133042,43,55,0.031712,235
1417,1412,147.8642942,1.008573379,30.63504484,2.922051085,45.01848524,318.1684852,10,0.000166667,31.16077503,2.889838342,304.310775,0.288983834,3.3108,0.997904319,9.979043188,0.000166317,43,55,0.031712,210
1417,1423,149.0162115,1.010199865,30.71460393,2.66987551,44.4066582,317.5566582,12,0.0002,31.66952623,2.632504206,304.8195262,0.263250421,3.0107,0.997945145,11.97534174,0.000199589,43,55,0.031712,205
1639,1638,171.5309589,1.008333301,30.61029402,5.267667702,43.47027472,316.6202747,5.5,9.16667E-05,31.30188656,5.256510249,304.4518866,0.525651025,6.023,0.997608768,5.486848224,9.14475E-05,45,60,0.027748,285
1639,1638,171.5309589,1.007679396,30.54766333,4.548877823,43.94469464,317.0946946,7,0.000116667,31.79771987,4.526704809,304.9477199,0.452670481,5.1773,0.997709236,6.983964653,0.000116399,45,60,0.027748,270
1639,1639,171.6356786,1.009508102,30.62892187,3.68519175,45.13479868,318.2847987,10,0.000166667,31.27780027,3.657215477,304.4278003,0.365721548,4.1892,0.997803076,9.978030758,0.000166301,45,60,0.027748,235
1639,1639,171.6356786,1.008652469,30.62292468,3.264158494,46.9431072,320.0931072,12,0.0002,31.52769729,3.220718806,304.6776973,0.322071881,3.6857,0.997868577,11.97442293,0.000199574,45,60,0.027748,220
1639,1639,171.6356786,1.009108398,30.61694689,3.068235487,48.03019594,321.1801959,14,0.000233333,32.04522691,3.019302915,305.1952269,0.301930292,3.4492,0.997889727,13.97045618,0.000232841,45,60,0.027748,215
1639,1640,171.7403984,1.00894216,30.66057775,2.829380628,47.41748032,320.5674803,16,0.000266667,32.766813,2.780840618,305.916813,0.278084062,3.169,0.997935615,15.96696985,0.000266116,45,60,0.027748,205
1839,1837,192.3701902,1.007480957,30.84917072,5.065394943,49.55249025,322.7024903,8.5,0.000141667,34.91174227,5.032475197,308.0617423,0.50324752,5.6976,0.997707475,8.480513534,0.000141342,48,64,0.021802,280
1839,1837,192.3701902,1.007663758,30.8548766,4.581677807,49.64855609,322.7985561,10,0.000166667,33.96512368,4.545085024,307.1151237,0.454508502,5.1613,0.997741689,9.977416886,0.00016629,48,64,0.021802,270
1839,1839,192.5796297,1.007937891,30.70738925,4.02822608,47.59892425,320.7489242,12,0.0002,32.93885735,3.982623895,306.0888574,0.39826239,4.5373,0.997790595,11.97348714,0.000199558,48,64,0.021802,260
1839,1839,192.5796297,1.007546573,30.65482611,3.653398687,46.40217955,319.5521796,15,0.00025,32.70438884,3.588084447,305.8543888,0.358808445,4.0906,0.997832692,14.96749038,0.000249458,48,64,0.021802,235
1839,1839,192.5796297,1.007730408,30.82298667,3.073275685,50.60244425,323.7524443,18,0.0003,34.16046595,3.003664109,307.310466,0.300366411,3.4075,0.997921411,17.9625854,0.000299376,48,64,0.021802,215
1839,1840,192.6843494,1.006904047,30.82416085,2.640104447,49.99033946,323.1403395,21,0.00035,35.29984135,2.557325601,308.4498414,0.25573256,2.8901,0.997979381,20.95756701,0.000349293,48,64,0.021802,205
2112,2107,220.644524,1.006643487,31.87552106,5.139552731,53.79042782,326.9404278,9,0.00015,34.09120311,5.115355152,307.2412031,0.511535515,5.8072,0.997681781,8.979136031,0.000149652,50,70,0.018829,285
